Incident_ID,Application,Issue_Type,Priority,Assigned_Team,Created_Date,Resolved_Date,Issue_Description,Resolution,Status,Command_Used
5c3065b2-4e90-4c54-ad7c-4787cf72e0d9,Payers,Claim Processing Delay,Low,Claims Support,2024-12-09 13:57:35,2024-12-11 23:57:35,"Provider directory lookup returned outdated information, causing incorrect referrals.",Financial reconciliation mismatch. Identified missing transactions and reconciled the ledger.,Resolved,generate-eob-report --from-db
47020c93-239c-47c8-99a8-583bbd41853a,Claim,Claim Processing Delay,High,IT Helpdesk,2025-01-27 13:57:35,2025-01-27 19:57:35,"Duplicate claims were appearing in the system, leading to overpayments.",Investigated Splunk logs and found API timeout errors. Restarted claims processing service.,Resolved,systemctl restart authorization-service
d36a58f6-ea9d-4539-b201-c5ec1705221a,Finance,Eligibility Check Failure,Critical,Claims Support,2024-08-21 13:57:35,2024-08-22 07:57:35,User reported intermittent API failures when processing claims. Requests were timing out frequently.,Eligibility check failed due to missing records. Restored backup data and reran verification.,Resolved,grep 'ERROR' /var/log/claims-service.log
e3f8de15-becd-4ae8-8fcf-cf1bf3e25d65,Finance,Knowledge Base Inquiry,Critical,Claims Support,2024-09-30 13:57:35,2024-10-02 07:57:35,EOB statements did not reflect the correct patient responsibility amounts.,Generated requested financial reports and validated data accuracy.,Resolved,
b30bf858-a565-4b20-bf61-d6b54d4185b2,Finance,Duplicate Claims,Medium,Billing Team,2024-07-23 13:57:35,2024-07-25 23:57:35,Authorization requests were failing due to unexpected 403 errors in the application logs.,Billing discrepancy identified via AppDynamics anomaly detection. Updated invoice calculation rules.,Resolved,deduplicate-claims --log-level debug
80000f22-eb6e-45b9-bb44-eca53dc33986,Claim,Eligibility Check Failure,High,Payment Processing,2024-04-07 13:57:35,2024-04-08 02:57:35,"Duplicate claims were appearing in the system, leading to overpayments.",Financial reconciliation mismatch. Identified missing transactions and reconciled the ledger.,Resolved,systemctl restart authorization-service
d5e0412b-d277-4d5d-95be-9ab6105b1829,Claim,Claim Processing Delay,High,IT Helpdesk,2024-05-09 13:57:35,2024-05-10 16:57:35,"Duplicate claims were appearing in the system, leading to overpayments.",Payment gateway issue traced using network logs. Restarted payment service and confirmed transactions.,Resolved,reconcile-financials --auto-fix
71820768-7681-4984-b9e5-f8a8228a50ce,Finance,Knowledge Base Inquiry,Medium,Billing Team,2024-08-04 13:57:35,2024-08-06 22:57:35,Authorization requests were failing due to unexpected 403 errors in the application logs.,Generated requested financial reports and validated data accuracy.,Resolved,
4280018c-0052-4844-8165-bbcb7aa0bf42,Claim,EOB (Explanation of Benefits) Mismatch,Critical,Payment Processing,2025-01-26 13:57:35,2025-01-28 16:57:35,"Provider directory lookup returned outdated information, causing incorrect referrals.",Eligibility check failed due to missing records. Restored backup data and reran verification.,Resolved,appdynamics check transaction-flow --app finance-app
9672f548-78de-4f78-9568-9ba8fdcc4e71,Payers,Eligibility Check Failure,Critical,IT Helpdesk,2024-10-22 13:57:35,2024-10-25 11:57:35,Eligibility checks returned incorrect coverage status for multiple members.,Financial reconciliation mismatch. Identified missing transactions and reconciled the ledger.,Resolved,reconcile-financials --auto-fix
